video name,mos,accepted scores,rejected scores
Soccer_720p_2_3000k_720_6,2.633,1 4 3 3 4 2 2 3 5 3 1 1 3 3 3 3 3 3 4 2 3 3 1 1 3 3 1 4 1 3,3 4 4 4 2 4 4 3
Soccer_720p_2_3000k_720_7,2.4,1 4 3 2 4 2 2 2 5 2 1 1 3 3 3 3 3 2 4 2 3 2 1 1 3 2 1 4 1 2,3 3 3 4 4 3 5 3
Soccer_720p_0_500k_360_3,2.367,1 3 3 3 3 4 3 1 3 3 1 2 1 1 4 3 3 3 3 3 2 2 1 1 3 2 2 1 4 2,2 5 4 4 1 3 5 3 2 2 4 4 3 1 1
Soccer_720p_0_500k_360_4,2.867,1 3 4 4 3 4 4 2 4 3 4 3 1 1 4 3 3 2 3 3 4 3 1 2 4 2 3 1 5 2,2 5 5 3 3 3 4 4 4 3 4 5 2 1 1
Soccer_720p_0_500k_360_5,2.5,1 4 4 4 3 4 1 2 5 3 3 2 1 1 3 3 2 2 3 2 3 2 1 3 3 1 3 1 2 3,3 5 5 3 3 4 5 4 4 3 4 5 3 1 1
Soccer_720p_0_500k_360_6,2.467,1 4 4 4 3 4 3 2 4 3 3 2 1 1 3 3 2 2 2 2 2 4 1 2 4 1 2 1 2 2,4 5 4 2 3 3 2 3 2 3 4 5 2 1 1
Soccer_720p_0_500k_360_7,2.5,1 4 4 4 3 4 1 2 3 3 3 2 1 1 4 3 2 3 2 3 3 3 1 2 4 2 2 1 2 2,4 5 4 5 3 3 5 5 2 2 4 5 4 1 1
Soccer_720p_0_100k_90_3,1.455,1 1 2 1 3 1 3 1 1 1 2 1 2 1 1 1 2 2 2 2 1 2 2 1 1 1 2 1 1 2 1 1 1,3 2 1 1
Soccer_720p_0_100k_90_4,1.758,1 1 3 2 3 2 3 4 1 1 2 1 1 1 1 1 2 3 2 2 1 2 3 2 1 1 3 1 2 2 1 1 1,3 2 2 1
Soccer_720p_0_100k_90_5,1.758,1 1 3 2 3 1 3 1 1 2 2 1 2 1 1 1 2 3 2 2 1 3 3 2 1 2 3 1 1 2 1 1 2,2 1 2 1
Soccer_720p_0_100k_90_6,1.697,1 1 3 2 3 1 3 4 1 2 2 2 3 1 1 1 2 2 2 2 1 2 2 1 1 1 2 1 1 2 1 1 1,5 2 2 1
Soccer_720p_0_100k_90_7,1.485,1 1 4 1 3 1 3 1 1 1 2 1 2 1 1 1 2 2 2 2 1 2 2 2 1 1 1 1 1 1 1 1 1,2 2 2 1
Soccer_720p_2_100k_90_3,1.194,1 2 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 3 1 1 1 1 1 1 2 1 1,1 1 2 1 1 2 1 1
Soccer_720p_2_100k_90_4,1.306,2 3 2 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 3 1 1 2 1 1 1 2 1 1,2 1 3 2 1 2 1 1
Soccer_720p_2_100k_90_5,1.389,1 4 2 1 1 1 1 2 1 3 1 2 1 1 1 1 2 1 1 1 1 1 3 1 1 1 3 1 1 1 1 1 1 1 2 1,1 1 1 2 5 1 1 1
Soccer_720p_2_100k_90_6,1.306,2 2 2 1 1 2 1 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 3 1 1 1 1 1 1 2 2 1,1 1 1 1 1 1 1 1
Soccer_720p_2_100k_90_7,1.028,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1
vim_sense_of_flying_0_300k_180_3,2.767,4 2 3 3 2 4 4 3 4 3 4 1 2 1 4 3 2 3 1 1 4 4 3 3 1 4 2 3 3 2,4 2 4 1 4 5 3 4 5 2 1 5
vim_sense_of_flying_0_300k_180_4,2.533,3 2 2 4 2 4 4 3 4 3 4 1 2 1 3 3 1 3 1 1 4 3 3 3 1 2 2 3 2 2,4 1 2 1 4 5 3 4 1 5 1 3
vim_sense_of_flying_0_300k_180_5,2.733,4 3 3 4 2 4 4 3 4 3 4 1 2 1 3 3 2 3 1 1 4 3 2 4 1 2 2 3 4 2,4 2 3 1 4 5 3 5 2 5 1 1
vim_sense_of_flying_0_300k_180_6,2.5,4 2 2 4 2 4 4 3 4 3 2 1 2 1 4 3 2 3 1 1 3 3 2 4 1 1 2 3 3 1,4 4 3 1 4 3 3 3 1 5 1 1
vim_sense_of_flying_0_300k_180_7,2.567,3 1 2 4 2 4 4 3 4 3 2 1 2 1 4 3 3 3 1 1 4 3 2 4 1 3 2 3 3 1,4 1 5 1 4 3 3 3 1 5 1 4
vim_sense_of_flying_2_300k_180_3,1.636,2 1 2 1 1 1 4 1 2 1 1 2 1 3 2 3 1 3 1 1 1 1 1 1 1 2 2 1 3 1 2 2 2,1 1 3 4 1 4 2 1 1
vim_sense_of_flying_2_300k_180_4,1.273,1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 3 3 1 1 1 1 1 2 1 1 1 2 1 2 1 2 1 1,1 2 3 4 2 2 2 2 1
vim_sense_of_flying_2_300k_180_5,1.667,2 1 2 1 1 2 3 1 3 1 1 1 1 3 2 3 2 3 2 1 1 1 2 1 1 1 3 1 1 1 2 2 2,1 2 3 4 2 3 3 2 1
vim_sense_of_flying_2_300k_180_6,1.394,1 1 1 1 1 2 2 1 1 1 1 1 1 2 2 3 2 2 1 1 1 1 2 1 1 1 3 1 1 1 2 1 2,1 1 3 4 1 3 1 2 1
vim_sense_of_flying_2_300k_180_7,1.394,1 1 1 1 1 2 3 1 2 1 1 1 1 3 1 3 1 2 1 1 1 1 1 1 1 1 3 1 1 1 2 2 1,1 1 3 4 2 3 1 2 1
vim_sense_of_flying_2_100k_90_3,1.242,1 1 1 1 1 1 2 1 2 1 1 1 1 2 1 2 1 1 1 1 1 1 3 1 1 1 1 1 2 1 1 1 2,4 3 2 1
vim_sense_of_flying_2_100k_90_4,1.212,1 1 1 1 1 1 2 1 3 2 1 1 1 2 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1,3 1 5 1
vim_sense_of_flying_2_100k_90_5,1.242,1 1 1 1 1 1 2 1 2 2 1 1 1 1 2 2 1 1 1 1 1 1 2 1 1 1 3 1 1 1 1 1 1,3 1 1 2
vim_sense_of_flying_2_100k_90_6,1.182,1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 2 1 1 1 1 1 1 2 1 1 1 3 1 1 1 1 1 1,3 1 4 2
vim_sense_of_flying_2_100k_90_7,1.273,2 1 1 1 1 1 1 1 2 1 1 1 1 1 2 2 1 1 1 1 1 1 3 2 1 1 3 1 1 1 1 1 1,3 1 3 1
vim_sense_of_flying_0_100k_90_3,1.857,1 1 2 3 1 3 4 2 2 2 3 2 2 1 1 2 2 2 1 2 1 3 1 1 3 1 2 2 2 1 2 2 2 1 2,5 2 5 1 3 3 1
vim_sense_of_flying_0_100k_90_4,1.771,1 1 1 3 1 3 4 2 3 2 3 2 2 1 1 2 2 3 2 2 1 2 1 1 2 1 2 2 2 1 1 2 1 1 1,3 2 2 1 3 3 1
vim_sense_of_flying_0_100k_90_5,2.143,2 1 2 3 1 3 4 2 3 3 2 3 2 1 1 2 2 3 2 3 1 2 1 1 4 2 3 1 3 1 2 2 2 2 3,3 1 3 1 3 3 1
vim_sense_of_flying_0_100k_90_6,1.8,1 1 1 3 1 3 4 2 2 1 3 3 2 1 1 2 2 3 2 3 1 1 1 1 2 1 2 2 3 1 1 2 1 1 2,3 1 2 1 3 3 1
vim_sense_of_flying_0_100k_90_7,1.914,1 1 1 3 1 3 4 2 2 2 2 3 2 1 1 2 3 2 2 2 1 3 1 1 3 2 2 2 3 1 1 2 1 2 2,3 1 3 2 3 3 1
vim_sense_of_flying_2_1000k_720_3,2.531,2 1 4 4 2 4 3 2 2 3 1 1 2 1 3 3 4 3 4 2 1 1 3 1 3 4 1 3 3 4 2 4,1 4 4 2 3 4
vim_sense_of_flying_2_1000k_720_4,2.375,3 1 3 4 1 4 3 2 2 3 1 1 2 1 2 3 4 3 4 2 1 1 2 1 4 3 1 2 3 3 3 3,2 4 5 2 2 4
vim_sense_of_flying_2_1000k_720_5,2.469,2 1 3 4 1 4 3 2 4 3 1 1 2 1 3 4 4 3 4 2 1 1 2 1 3 4 1 2 3 3 3 3,1 3 5 2 2 3
vim_sense_of_flying_2_1000k_720_6,2.438,2 1 3 4 1 4 4 2 4 3 1 1 2 1 2 3 4 3 4 2 1 1 2 1 3 4 1 2 3 3 2 4,2 3 4 2 3 3
vim_sense_of_flying_2_1000k_720_7,2.5,2 1 3 4 1 4 3 3 3 3 1 1 2 1 3 3 4 2 4 2 1 1 2 1 3 4 1 4 3 4 3 3,1 3 5 5 3 3
CosmosLaundromat_720p_2_150k_90_3,1.548,1 1 1 1 1 2 1 3 1 1 1 1 1 3 1 1 2 1 1 1 3 2 2 1 1 3 4 1 2 1 2,1 4 4 2
CosmosLaundromat_720p_2_150k_90_4,1.323,1 1 1 1 1 2 1 2 1 1 1 1 1 2 2 1 2 1 1 1 3 1 2 1 1 2 2 1 1 1 1,1 4 2 3
CosmosLaundromat_720p_2_150k_90_5,1.194,1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 2 2 1 1 1 1,1 3 4 2
CosmosLaundromat_720p_2_150k_90_6,1.161,1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 2 1 1 1 1 1,1 3 4 1
CosmosLaundromat_720p_2_150k_90_7,1.161,1 1 1 1 1 1 1 2 1 1 1 1 1 3 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1,1 2 3 2
CosmosLaundromat_720p_2_2000k_720_3,2.533,2 1 3 3 3 4 3 3 2 4 1 1 2 1 2 3 4 2 1 1 4 4 2 1 4 4 3 3 2 3,2
CosmosLaundromat_720p_2_2000k_720_4,2.5,1 1 3 3 3 4 4 3 2 3 1 1 2 1 2 3 4 2 1 1 3 4 2 1 4 4 3 3 2 4,2
CosmosLaundromat_720p_2_2000k_720_5,2.5,1 1 3 3 3 4 3 4 2 3 1 1 2 1 2 3 4 2 1 1 3 4 2 1 4 4 3 3 2 4,5
CosmosLaundromat_720p_2_2000k_720_6,2.367,1 1 3 3 3 4 3 3 2 3 1 1 2 1 2 3 4 2 1 1 3 3 2 1 3 4 3 3 2 3,4
CosmosLaundromat_720p_2_2000k_720_7,2.467,2 1 3 3 3 4 3 4 2 3 1 1 2 1 2 3 4 2 1 1 2 3 2 1 4 4 3 3 2 4,2
CosmosLaundromat_720p_2_300k_180_3,1.586,1 2 3 1 1 2 2 4 1 1 2 1 1 1 1 3 2 1 1 1 2 1 1 1 1 3 1 2 2,5 4 5 3 1 4 2 3 2 2 2 4 2 5 4 1
CosmosLaundromat_720p_2_300k_180_4,1.517,1 1 2 1 1 2 3 4 1 1 2 1 1 1 1 3 2 1 1 1 3 1 1 1 1 3 1 1 1,2 4 1 4 1 3 1 2 2 2 3 3 2 3 5 2
CosmosLaundromat_720p_2_300k_180_5,1.448,1 2 2 1 1 1 2 2 1 1 3 1 1 1 1 1 2 2 1 1 2 1 1 1 1 3 1 2 2,1 4 1 4 1 2 1 3 2 2 2 3 2 3 3 2
CosmosLaundromat_720p_2_300k_180_6,1.448,1 1 3 1 1 2 3 3 1 1 3 1 1 1 1 1 2 2 1 1 1 1 1 1 1 2 1 2 1,3 4 1 4 1 2 1 2 2 2 1 2 2 3 1 2
CosmosLaundromat_720p_2_300k_180_7,1.483,1 2 1 1 1 1 3 3 2 1 3 1 1 1 1 2 2 2 1 1 2 1 1 1 1 2 1 2 1,1 4 1 4 1 3 2 3 1 3 1 2 2 2 3 3
CosmosLaundromat_720p_0_150k_90_3,2.576,1 1 2 4 2 3 3 4 3 4 3 3 1 1 2 4 2 1 1 1 4 4 2 3 4 1 4 4 3 3 1 3 3,2 1
CosmosLaundromat_720p_0_150k_90_4,2.182,1 1 2 4 2 3 3 4 3 3 3 2 1 1 2 2 2 1 1 1 4 3 2 2 3 1 4 2 2 2 2 1 2,1 1
CosmosLaundromat_720p_0_150k_90_5,2.152,1 1 2 3 2 3 3 4 3 2 2 3 1 1 2 3 2 1 1 1 4 3 2 2 3 1 3 2 2 2 2 2 2,2 1
CosmosLaundromat_720p_0_150k_90_6,1.879,1 1 2 3 2 3 3 4 1 3 3 2 1 1 2 2 2 1 1 1 2 2 2 2 3 1 2 2 2 2 1 1 1,1 1
CosmosLaundromat_720p_0_150k_90_7,1.909,1 1 1 3 2 3 3 4 2 2 2 2 1 1 2 3 2 1 1 1 3 1 2 2 3 1 2 3 2 2 2 1 1,1 1
CosmosLaundromat_720p_0_300k_180_3,2.939,3 3 4 4 3 4 3 3 3 4 3 3 4 1 1 2 1 5 2 3 1 1 5 2 3 3 4 1 4 3 3 4 4,1 5 3 3 5 5 5 4 1 5 5
CosmosLaundromat_720p_0_300k_180_4,2.576,2 3 4 4 1 4 3 3 3 4 2 3 2 1 1 2 1 4 2 2 1 1 5 2 4 3 4 1 3 2 2 3 3,5 5 4 5 5 5 5 3 1 4 3
CosmosLaundromat_720p_0_300k_180_5,2.576,2 3 4 4 1 4 3 3 3 4 3 3 3 1 1 2 1 4 2 3 1 1 3 2 3 3 4 1 3 2 3 3 2,1 5 4 5 5 5 5 3 1 4 2
CosmosLaundromat_720p_0_300k_180_6,2.515,2 3 4 4 1 4 3 3 3 3 3 3 3 1 1 2 1 4 2 3 1 1 4 2 2 2 4 1 3 3 2 3 2,1 5 4 3 5 4 4 4 1 4 2
CosmosLaundromat_720p_0_300k_180_7,2.515,1 3 4 4 1 4 3 3 4 3 3 3 2 1 1 2 1 4 2 4 1 1 4 2 3 2 4 1 3 2 3 2 2,1 5 4 3 5 4 5 4 1 4 3
original_videos_Sports_360P_Sports_360P-50fd_2_100k_90_3,1.265,1 1 1 1 1 2 1 2 1 2 1 2 1 1 1 1 1 1 2 1 1 1 1 3 1 1 1 1 2 1 1 1 1 2,1 1
original_videos_Sports_360P_Sports_360P-50fd_2_100k_90_4,1.147,1 1 1 1 1 1 1 2 1 2 1 2 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1,2 2
original_videos_Sports_360P_Sports_360P-50fd_2_100k_90_5,1.059,1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1 1
original_videos_Sports_360P_Sports_360P-50fd_2_100k_90_6,1.382,1 1 1 1 1 1 1 2 1 4 1 2 1 1 1 2 1 2 2 1 1 1 1 4 1 1 1 1 2 1 1 2 1 1,2 1
original_videos_Sports_360P_Sports_360P-50fd_2_100k_90_7,1.441,1 1 3 1 1 2 1 2 1 4 1 2 1 1 1 2 1 2 2 1 1 1 1 3 1 1 1 1 2 1 1 2 1 1,3 1
original_videos_Sports_360P_Sports_360P-50fd_2_1000k_360_3,2.364,1 1 3 3 1 3 4 4 4 3 2 3 1 1 2 2 2 4 4 4 1 1 1 4 2 2 1 4 1 1 3 2 3,2 4
original_videos_Sports_360P_Sports_360P-50fd_2_1000k_360_4,2.424,2 1 3 3 1 3 4 4 3 3 2 4 1 1 2 2 3 4 4 4 2 1 1 3 2 2 1 4 1 1 3 2 3,5 5
original_videos_Sports_360P_Sports_360P-50fd_2_1000k_360_5,2.121,2 1 4 3 1 3 4 3 3 2 2 3 1 1 2 2 2 4 2 4 1 1 1 2 2 2 1 3 1 1 3 1 2,2 1
original_videos_Sports_360P_Sports_360P-50fd_2_1000k_360_6,2.303,2 1 3 3 1 3 4 3 3 3 2 4 1 1 2 2 3 4 3 4 2 1 1 4 2 2 1 3 1 1 3 1 2,1 3
original_videos_Sports_360P_Sports_360P-50fd_2_1000k_360_7,2.394,2 1 3 3 1 3 4 3 4 4 2 3 1 1 2 2 3 4 3 4 1 1 1 4 2 2 1 4 1 1 3 2 3,2 3
original_videos_Sports_360P_Sports_360P-50fd_0_100k_90_3,2.219,1 1 4 1 3 4 3 3 4 2 3 1 1 2 3 2 2 2 1 1 2 1 1 4 3 2 3 2 1 4 2 2,3 4 2 2 3 1 1 1 5 1
original_videos_Sports_360P_Sports_360P-50fd_0_100k_90_4,1.969,1 1 3 1 3 4 3 2 2 3 3 1 1 2 2 2 2 2 1 1 2 1 1 3 3 2 2 2 1 3 1 2,1 4 2 3 3 1 1 1 5 2
original_videos_Sports_360P_Sports_360P-50fd_0_100k_90_5,1.781,1 1 3 1 3 4 2 3 2 2 3 1 1 2 1 2 2 2 1 1 2 1 1 2 2 2 2 1 1 3 1 1,3 4 2 2 2 1 1 1 5 2
original_videos_Sports_360P_Sports_360P-50fd_0_100k_90_6,2.156,1 1 4 1 3 4 3 3 4 2 3 1 1 2 3 2 2 2 1 1 2 1 1 4 3 2 2 2 1 3 2 2,1 4 2 2 2 1 1 1 1 2
original_videos_Sports_360P_Sports_360P-50fd_0_100k_90_7,2.281,2 1 3 1 3 4 3 4 3 2 3 1 1 2 3 3 2 2 1 1 2 1 1 4 5 2 2 3 1 4 2 1,5 4 2 3 3 1 1 1 5 2
original_videos_Sports_360P_Sports_360P-32d3_0_100k_88_3,2.029,4 1 3 3 1 1 4 2 3 3 1 2 2 3 2 1 1 2 1 2 2 1 1 2 3 2 1 2 2 3 1 2 3 2,5 1 3 1 1 2 1 1
original_videos_Sports_360P_Sports_360P-32d3_0_100k_88_4,2.059,4 1 3 3 1 1 4 2 2 3 1 2 2 3 2 1 1 2 1 2 2 1 1 3 2 3 1 2 2 3 1 2 4 2,5 1 3 1 1 2 1 1
original_videos_Sports_360P_Sports_360P-32d3_0_100k_88_5,1.735,4 1 2 3 1 1 4 2 3 2 1 1 2 2 1 1 1 2 1 2 2 1 1 2 1 1 1 2 2 2 1 2 3 1,5 1 2 1 1 2 3 1
original_videos_Sports_360P_Sports_360P-32d3_0_100k_88_6,1.971,4 1 2 3 1 1 4 2 2 3 1 3 1 3 2 1 1 2 1 2 2 1 1 3 2 2 1 2 2 3 1 2 3 2,5 1 2 1 1 2 2 1
original_videos_Sports_360P_Sports_360P-32d3_0_100k_88_7,1.824,3 1 2 3 1 1 4 2 2 3 1 3 2 3 2 1 1 2 1 1 2 1 1 2 2 1 1 2 2 2 1 2 3 1,1 1 3 1 1 3 2 1
original_videos_Sports_360P_Sports_360P-32d3_2_1000k_352_3,2.588,2 3 3 2 3 3 4 2 3 4 4 1 2 4 3 1 1 2 3 3 4 1 1 2 4 2 3 1 3 4 1 3 4 2,1 3 5 2 3 4 3
original_videos_Sports_360P_Sports_360P-32d3_2_1000k_352_4,2.441,2 2 3 1 3 3 4 2 3 4 4 1 2 3 3 1 1 2 3 3 4 1 1 2 3 2 3 1 3 3 1 3 4 2,1 4 2 2 3 3 2
original_videos_Sports_360P_Sports_360P-32d3_2_1000k_352_5,2.265,2 1 3 1 3 3 4 2 2 4 2 2 2 3 2 1 1 2 3 3 4 1 1 2 2 3 2 1 3 3 1 3 4 1,1 4 3 1 2 3 3
original_videos_Sports_360P_Sports_360P-32d3_2_1000k_352_6,2.382,3 2 3 1 3 3 4 2 3 4 3 1 2 3 2 1 1 2 3 3 3 1 1 2 3 2 2 1 3 3 1 3 4 3,1 4 2 1 2 3 2
original_videos_Sports_360P_Sports_360P-32d3_2_1000k_352_7,2.441,3 2 3 1 3 3 4 2 3 4 3 2 2 3 2 1 1 2 3 3 4 1 1 2 3 2 2 1 3 4 1 3 4 2,1 4 3 1 4 3 2
original_videos_Sports_360P_Sports_360P-32d3_2_100k_88_3,1.212,1 3 1 1 1 1 1 2 1 3 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2,5 1 3 5 2
original_videos_Sports_360P_Sports_360P-32d3_2_100k_88_4,1.242,1 2 1 1 1 1 1 2 1 2 3 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2,5 2 2 1 1
original_videos_Sports_360P_Sports_360P-32d3_2_100k_88_5,1.061,1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1,5 3 1 1 1
original_videos_Sports_360P_Sports_360P-32d3_2_100k_88_6,1.273,1 3 2 1 1 1 1 2 1 2 2 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1,5 1 1 1 3
original_videos_Sports_360P_Sports_360P-32d3_2_100k_88_7,1.212,1 2 1 1 1 1 1 2 1 2 1 1 2 1 1 1 1 1 1 1 1 1 3 1 1 1 1 2 1 1 1 1 1,5 1 1 1 1
