video name,mos,accepted scores,rejected scores
original_videos_Gaming_1080P_Gaming_1080P-57ca_2_500k_360_6,1.974,3 1 1 1 3 1 2 3 1 1 2 2 3 2 3 3 2 3 1 1 1 2 2 3 1 4 1 3 2 1 1 3 1 2 2 2 2 3,4 1 3 3 4 1
original_videos_Gaming_1080P_Gaming_1080P-57ca_2_500k_360_7,1.895,2 2 1 1 2 1 3 3 1 1 2 3 3 2 3 4 1 3 1 1 1 4 2 3 1 2 1 3 2 1 1 1 1 2 2 2 1 2,4 1 2 3 1 2
original_videos_Gaming_1080P_Gaming_1080P-57ca_2_100k_90_3,1.091,1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1,2 2
original_videos_Gaming_1080P_Gaming_1080P-57ca_2_100k_90_4,1.212,1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 3 1 1 1 1 3 1 1 1 1 1 1 1 1 2,1 1
original_videos_Gaming_1080P_Gaming_1080P-57ca_2_100k_90_5,1.424,2 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 3 3 2 1 1 1 3 1 2 1 1 1 1 1 3 2,1 1
original_videos_Gaming_1080P_Gaming_1080P-57ca_2_100k_90_6,1.273,1 1 1 1 1 1 1 1 2 1 1 2 1 2 1 1 1 1 3 1 1 1 1 2 1 2 1 1 3 1 1 1 1,1 1
original_videos_Gaming_1080P_Gaming_1080P-57ca_2_100k_90_7,1.121,1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1,1 1
original_videos_Gaming_1080P_Gaming_1080P-57ca_0_100k_90_3,1.576,1 1 1 3 3 3 1 2 4 3 1 1 2 1 2 1 1 2 1 2 2 1 1 1 2 1 1 1 1 2 1 1 1,2 1
original_videos_Gaming_1080P_Gaming_1080P-57ca_0_100k_90_4,1.939,2 1 2 3 3 3 1 3 4 3 1 1 3 2 2 1 1 2 1 2 2 1 1 4 2 2 1 1 1 2 2 1 3,1 1
original_videos_Gaming_1080P_Gaming_1080P-57ca_0_100k_90_5,1.818,2 1 1 3 3 2 1 3 4 3 1 1 2 2 2 1 1 2 1 2 2 1 1 3 2 2 2 1 1 2 1 2 2,2 1
original_videos_Gaming_1080P_Gaming_1080P-57ca_0_100k_90_6,1.879,2 1 2 3 3 2 1 3 4 2 1 1 3 2 2 1 1 2 1 2 2 1 1 3 2 2 2 1 1 2 1 2 3,3 1
original_videos_Gaming_1080P_Gaming_1080P-57ca_0_100k_90_7,1.697,1 1 1 4 3 2 1 3 4 3 1 1 1 2 3 1 1 2 1 1 2 1 1 2 2 2 2 1 1 2 1 1 1,2 1
original_videos_Gaming_1080P_Gaming_1080P-57ca_2_3000k_720_3,2.6,3 1 2 3 4 1 4 3 2 3 3 1 1 2 1 3 4 4 3 1 1 3 3 5 4 1 4 3 2 3,5 2
original_videos_Gaming_1080P_Gaming_1080P-57ca_2_3000k_720_4,2.5,2 1 2 3 4 1 4 4 2 2 3 1 1 2 1 3 4 4 3 1 1 3 3 5 2 1 4 4 1 3,5 2
original_videos_Gaming_1080P_Gaming_1080P-57ca_2_3000k_720_5,2.9,3 1 2 3 4 1 4 3 4 3 3 1 1 5 1 3 4 4 3 1 1 3 3 4 4 1 5 4 4 4,4 2
original_videos_Gaming_1080P_Gaming_1080P-57ca_2_3000k_720_6,2.633,2 1 2 3 4 1 4 3 2 3 3 1 1 2 1 3 4 4 3 1 1 4 3 5 3 1 4 4 3 3,4 5
original_videos_Gaming_1080P_Gaming_1080P-57ca_2_3000k_720_7,2.567,2 1 2 3 4 1 4 3 2 3 3 1 1 2 1 3 4 4 3 1 1 4 3 5 3 1 4 4 1 3,3 2
original_videos_Gaming_1080P_Gaming_1080P-57ca_0_500k_360_3,2.941,2 4 1 2 4 5 1 4 3 4 4 2 4 4 4 4 4 1 1 2 1 4 4 3 1 3 2 3 3 4 2 3 3 4,5 4 1 2 2 1 1
original_videos_Gaming_1080P_Gaming_1080P-57ca_0_500k_360_4,3.676,2 5 1 3 4 5 2 4 5 4 4 3 4 4 5 4 5 1 5 4 1 5 5 3 1 5 5 4 4 4 4 2 4 4,4 3 1 3 2 1 1
original_videos_Gaming_1080P_Gaming_1080P-57ca_0_500k_360_5,3.235,2 5 1 2 4 5 1 4 3 4 4 4 3 2 5 5 4 1 1 4 1 4 5 3 1 4 5 3 4 5 3 3 3 2,4 5 1 5 2 1 1
original_videos_Gaming_1080P_Gaming_1080P-57ca_0_500k_360_6,3.559,2 4 1 3 4 5 2 4 5 4 4 5 4 3 5 4 4 1 5 2 1 5 5 3 1 5 5 4 4 4 3 3 4 3,3 4 1 4 3 1 1
